"crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"2022-04-24T00:00:00.000","0:00","BRONX","10453","40.861862","-73.91275","
,  
(40.861862, -73.91275)","MAJOR DEEGAN EXPRESSWAY","WEST FORDHAM ROAD",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4521801","Sedan",,,,
"2022-03-08T00:00:00.000","20:00","BROOKLYN","11207","40.666256","-73.900215","
,  
(40.666256, -73.900215)",,,"360       SNEDIKER AVENUE","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4522285","Sedan",,,,
"2022-04-24T00:00:00.000","15:35","MANHATTAN","10019","40.767242","-73.986206","
,  
(40.767242, -73.986206)","WEST 56 STREET","9 AVENUE",,"1","0","0","0","1","0","0","0","View Obstructed/Limited","Unspecified",,,,"4521853","Station Wagon/Sport Utility Vehicle","Bike",,,
"2022-04-22T00:00:00.000","12:00","BROOKLYN","11230","40.62417","-73.97048","
,  
(40.62417, -73.97048)","AVENUE J","OCEAN PARKWAY",,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4522228","Sedan","Pick-up Truck",,,
"2022-04-24T00:00:00.000","13:10",,,"40.679955","-73.97491","
,  
(40.679955, -73.97491)","SAINT MARKS AVENUE","6 AVENUE",,"0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4521702","Station Wagon/Sport Utility Vehicle",,,,
"2022-04-24T00:00:00.000","4:20","BROOKLYN","11221","40.692356","-73.94282","
,  
(40.692356, -73.94282)","THROOP AVENUE","DE KALB AVENUE",,"1","0","0","0","0","0","1","0","Traffic Control Disregarded","Unspecified",,,,"4522167","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2022-04-20T00:00:00.000","19:37",,,"40.78291","-73.98578","
,  
(40.78291, -73.98578)","HENRY HUDSON PARKWAY",,,"0","0","0","0","0","0","0","0","Driver Inexperience","Unspecified",,,,"4522196","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2022-04-24T00:00:00.000","16:14",,,"40.67308","-73.91124","
,  
(40.67308, -73.91124)","ROCKAWAY AVENUE",,,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4521758","Sedan","Sedan",,,
"2022-04-12T00:00:00.000","19:56","BROOKLYN","11203","40.65011","-73.930214","
,  
(40.65011, -73.930214)","UTICA AVENUE","SNYDER AVENUE",,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4522136","Station Wagon/Sport Utility Vehicle",,,,
"2022-04-24T00:00:00.000","0:30",,,"40.638382","-74.03668","
,  
(40.638382, -74.03668)","BELT PARKWAY",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified","Unspecified","Unspecified",,"4521469","Sedan","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",
"2022-04-24T00:00:00.000","20:13","QUEENS","11419","40.69261","-73.81143","
,  
(40.69261, -73.81143)",,,"102-24    VANWYCK EXPRESSWAY","0","0","0","0","0","0","0","0","Aggressive Driving/Road Rage",,,,,"4521859","Sedan",,,,
"2022-04-24T00:00:00.000","15:21","QUEENS","11101","40.745235","-73.937706","
,  
(40.745235, -73.937706)","THOMSON AVENUE","SKILLMAN AVENUE",,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4521590","Sedan","Sedan",,,
"2022-04-24T00:00:00.000","10:27",,,,,,"VANWYCK EXPRESSWAY","109 AVENUE",,"1","0","0","0","0","0","1","0","Traffic Control Disregarded","Traffic Control Disregarded",,,,"4521902","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2022-04-24T00:00:00.000","21:00","QUEENS","11106","40.758705","-73.93793","
,  
(40.758705, -73.93793)","21 STREET","37 AVENUE",,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4521684","Sedan","Sedan",,,
"2022-04-24T00:00:00.000","21:40","QUEENS","11418","40.695156","-73.845406","
,  
(40.695156, -73.845406)","JAMAICA AVENUE","102 STREET",,"0","0","0","0","0","0","0","0","Reaction to Uninvolved Vehicle","Unspecified",,,,"4521858","Ambulance","Station Wagon/Sport Utility Vehicle",,,
"2022-04-07T00:00:00.000","14:14","MANHATTAN","10017","40.748158","-73.97033","
,  
(40.748158, -73.97033)","1 AVENUE","EAST 41 STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Passing or Lane Usage Improper",,,,"4522242","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-06-29T00:00:00.000","17:35",,,"40.609535","-73.75372","
,  
(40.609535, -73.75372)","BEACH CHANNEL DRIVE",,,"0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4456672","Station Wagon/Sport Utility Vehicle","E-Bike",,,
"2021-12-09T00:00:00.000","20:20","BROOKLYN","11223","40.59207","-73.96299","
,  
(40.59207, -73.96299)","EAST 7 STREET","CRAWFORD AVENUE",,"1","0","0","0","1","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4485150","Bike",,,,
"2021-12-09T00:00:00.000","14:50",,,"40.850018","-73.9107","
,  
(40.850018, -73.9107)","WEST 177 STREET",,,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4485116","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-12-09T00:00:00.000","2:45","QUEENS","11422","40.653023","-73.73895","
,  
(40.653023, -73.73895)","149 AVENUE","HUXLEY STREET",,"1","0","0","0","0","0","1","0","Alcohol Involvement",,,,,"4485026","Sedan",,,,
"2021-12-06T00:00:00.000","22:16",,,"40.62573","-73.9564","
,  
(40.62573, -73.9564)","AVENUE J",,,"0","0","0","0","0","0","0","0","Unsafe Speed","Unspecified",,,,"4485528","Sedan",,,,
"2021-12-04T00:00:00.000","12:00","BROOKLYN","11213","40.665375","-73.934235","
,  
(40.665375, -73.934235)","CROWN STREET","SCHENECTADY AVENUE",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4485333","Sedan","Ambulance",,,
